primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
"Inference page for easily testing all models (without project setup, etc)",Mt. Totumas Reflection,26,"Inference page for easily testing all models (without project setup, etc)",Web features,,,,,,Mount Totumas ML reflection & follow-up: New systems: Web features,,,,,,,,,,,,,,,,,,
Capturing data (sending direct to antenna),Mt. Totumas Reflection,27,Capturing data (sending direct to antenna),Apps,,,,,,Mount Totumas ML reflection & follow-up: Apps,,,,,,,,,,,,,,,,,,
Demo Flatbug,Mt. Totumas Reflection,28,Demo Flatbug,Segmentation todo,,,,,,Mount Totumas ML reflection & follow-up: Segmentation todo,,,,,,,,,,,,,,,,,,
Demo other segmentation algorithms,Mt. Totumas Reflection,29,Demo other segmentation algorithms,Segmentation todo,,,,,,Mount Totumas ML reflection & follow-up: Segmentation todo,,,,,,,,,,,,,,,,,,
Discuss detector approaches,Mt. Totumas Reflection,30,Discuss detector approaches,Segmentation todo,,,,,,Mount Totumas ML reflection & follow-up: Segmentation todo,,,,,,,,,,,,,,,,,,
Transparency: Knowing what we don’t know - which species good and bad at,Mt. Totumas Reflection,31,Transparency: Knowing what we don’t know - which species good and bad at,Transparency,,,,,,Mount Totumas ML reflection & follow-up: Transparency,,,,,,,,,,,,,,,,,,
Transparency: This region is not supported,Mt. Totumas Reflection,32,Transparency: This region is not supported,Transparency,,,,,,Mount Totumas ML reflection & follow-up: Transparency,,,,,,,,,,,,,,,,,,
Transparency: How many images and what images was the model trained on?,Mt. Totumas Reflection,33,Transparency: How many images and what images was the model trained on?,Transparency,,,,,,Mount Totumas ML reflection & follow-up: Transparency,,,,,,,,,,,,,,,,,,
Transparency: We don’t know about this species,Mt. Totumas Reflection,34,Transparency: We don’t know about this species,Transparency,,,,,,Mount Totumas ML reflection & follow-up: Transparency,,,,,,,,,,,,,,,,,,
Transparency: What are the stupid errors,Mt. Totumas Reflection,35,Transparency: What are the stupid errors,Transparency,,,,,,Mount Totumas ML reflection & follow-up: Transparency,,,,,,,,,,,,,,,,,,
Don’t show Not a Moth by default (need project setting for these special Taxon),Mt. Totumas Reflection,36,Don’t show Not a Moth by default (need project setting for these special Taxon),Defaults,,,,,,Mount Totumas ML reflection & follow-up: Defaults,,,,,,,,,,,,,,,,,,
Predict to order level only by default?,Mt. Totumas Reflection,37,Predict to order level only by default?,Defaults,,,,,,Mount Totumas ML reflection & follow-up: Defaults,,,,,,,,,,,,,,,,,,
Documentation for reviewing,Mt. Totumas Reflection,38,Documentation for reviewing,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Resizing images for the app (use prisma urls in API response),Mt. Totumas Reflection,39,Resizing images for the app (use prisma urls in API response),Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Mind map of what’s to come after this,Mt. Totumas Reflection,40,Mind map of what’s to come after this,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Filter for confidence in Taxa view,Mt. Totumas Reflection,41,Filter for confidence in Taxa view,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
"Cluster names - “recognizable taxonomic unit” - RTU 1, 2, 3",Mt. Totumas Reflection,42,"Cluster names - “recognizable taxonomic unit” - RTU 1, 2, 3",Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Confidence at higher ranks (Single determination approach & New column to show predictions),Mt. Totumas Reflection,43,Confidence at higher ranks (Single determination approach & New column to show predictions),Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Merge PRs - project ID filter,Mt. Totumas Reflection,44,Merge PRs - project ID filter,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Scripts for sampling & uploading data,Mt. Totumas Reflection,45,Scripts for sampling & uploading data,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Class masking & global model - then generate rank classifications as additional classifications,Mt. Totumas Reflection,46,Class masking & global model - then generate rank classifications as additional classifications,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Bug: Cluster cover images are not automatically set,Mt. Totumas Reflection,47,Bug: Cluster cover images are not automatically set,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Bug: Sessions not automatically created after sync,Mt. Totumas Reflection,48,Bug: Sessions not automatically created after sync,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Bug: Counts per deployment,Mt. Totumas Reflection,49,Bug: Counts per deployment,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Bug: Increase capacity of the database in the OOD environment,Mt. Totumas Reflection,50,Bug: Increase capacity of the database in the OOD environment,Features & Bugs from Slack / Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack; Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
"Bug: Can’t update name, parents or tags",Mt. Totumas Reflection,51,"Bug: Can’t update name, parents or tags",Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Deleting occurrences,Mt. Totumas Reflection,52,Deleting occurrences,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Copying projects,Mt. Totumas Reflection,53,Copying projects,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Show the Site & Device as columns in Station list view,Mt. Totumas Reflection,54,Show the Site & Device as columns in Station list view,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Somehow display which species the model is better or worse at,Mt. Totumas Reflection,55,Somehow display which species the model is better or worse at,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Update filter of taxa best confidence to allow None (filter out unobserved species with score of None),Mt. Totumas Reflection,56,Update filter of taxa best confidence to allow None (filter out unobserved species with score of None),Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Re-training panama model with fewer,Mt. Totumas Reflection,57,Re-training panama model with fewer,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
Put cursor in taxon search field after clicking the magnifying glass,Mt. Totumas Reflection,58,Put cursor in taxon search field after clicking the magnifying glass,Features & Bugs from Slack,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
"Ask Chris for list of any, all categories of interest",Mt. Totumas Reflection,59,"Ask Chris for list of any, all categories of interest",Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Default filter: lepidoptera,Mt. Totumas Reflection,60,Default filter: lepidoptera,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Show best detection image in taxa view & occurrence view,Mt. Totumas Reflection,61,Show best detection image in taxa view & occurrence view,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Hide occurrences if missing detections,Mt. Totumas Reflection,62,Hide occurrences if missing detections,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Missing Not Identifiable class in OOD environment,Mt. Totumas Reflection,63,Missing Not Identifiable class in OOD environment,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Size filter,Mt. Totumas Reflection,64,Size filter,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
"Add column for best_identification to the occurrences view (optional, next to Taxon Determination column)",Mt. Totumas Reflection,65,"Add column for best_identification to the occurrences view (optional, next to Taxon Determination column)",Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Mt. Totumas Reflection,66,Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Project ID required when changing name/tags of cluster,Mt. Totumas Reflection,67,Project ID required when changing name/tags of cluster,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",Mt. Totumas Reflection,68,"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Remove “null” that keeps returning to data sync view,Mt. Totumas Reflection,69,Remove “null” that keeps returning to data sync view,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Mt. Totumas Reflection,70,Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,Mt. Totumas Reflection,71,The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Filter/search by previous identifications,Mt. Totumas Reflection,72,Filter/search by previous identifications,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Link to filter taxa by parent (from taxa detail view)?,Mt. Totumas Reflection,73,Link to filter taxa by parent (from taxa detail view)?,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Add verification features to gallery view,Mt. Totumas Reflection,74,Add verification features to gallery view,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Add size fields to the taxonomy database (fallback to parent size category). Avg.,Mt. Totumas Reflection,75,Add size fields to the taxonomy database (fallback to parent size category). Avg.,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Add is_cryptic field (to what rank),Mt. Totumas Reflection,76,Add is_cryptic field (to what rank),Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Script to fix date offsets,Mt. Totumas Reflection,77,Script to fix date offsets,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
"Size estimator with annotations (from normal photos, verified in Bold, iNat)",Mt. Totumas Reflection,78,"Size estimator with annotations (from normal photos, verified in Bold, iNat)",Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Make taxa detail page,Mt. Totumas Reflection,79,Make taxa detail page,Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Features & Bugs from Workflow Slides,,,,,,,,,,,,,,,,,,
Determine our certainty / uncertainty at predicting that species,Others,1,,,,,,,,,,,,ML,Tropics working group,Determine our certainty / uncertainty at predicting that species,,,,,,,,,,,,
"Analyze morphological traits and temporal patterns, using the data we have",Others,2,,,,,,,,,,,,ML & Results,Tropics working group,"Analyze morphological traits and temporal patterns, using the data we have",,,,,,,,,,,,
What can we do with the data we have?,Others,3,,,,,,,,,,,,ML & Results,Tropics working group,What can we do with the data we have?,,,,,,,,,,,,
"Trait analysis, temporal patterns, biomass, higher rank information, etc",Others,4,,,,,,,,,,,,ML & Results,Tropics working group,"Trait analysis, temporal patterns, biomass, higher rank information, etc",,,,,,,,,,,,
Comparison with traditional monitoring data (BCI),Others,5,,,,,,,,,,,,Science,Tropics working group,Comparison with traditional monitoring data (BCI),,,,,,,,,,,,
What steps can we take to improve the classifiers over the coming years?,Others,6,,,,,,,,,,,,Planning,Tropics working group,What steps can we take to improve the classifiers over the coming years?,,,,,,,,,,,,
Clearly define the issues we see,Others,7,,,,,,,,,,,,Science,Tropics working group,Clearly define the issues we see,,,,,,,,,,,,
Propose projects to work on new methods,Others,8,,,,,,,,,,,,Planning,Tropics working group,Propose projects to work on new methods,,,,,,,,,,,,
Antenna Lite - mobile app for moth traps that automatically registers an annoynmous station,Others,9,,,,,,,,,,,,Mobile app,Kent/Michael call,Antenna Lite - mobile app for moth traps that automatically registers an annoynmous station,,,,,,,,,,,,
"How to score confidence (hardness to identify visually, how many similar species, the models accuracy on this species, the number and quality of training samples (or type of images) for this species). Do we know about it at all? How likely is the species to occur at the place and time it was observed?",Others,10,,,,,,,,,,,,ML,Michael Notes,"How to score confidence (hardness to identify visually, how many similar species, the models accuracy on this species, the number and quality of training samples (or type of images) for this species). Do we know about it at all? How likely is the species to occur at the place and time it was observed?",,,,,,,,,,,,
"How to roll up to genus, higher taxon levels",Others,11,,,,,,,,,,,,ML,Michael Notes,"How to roll up to genus, higher taxon levels",,,,,,,,,,,,
How to choose ID from a track / turboid of multiple images,Others,12,,,,,,,,,,,,ML,Michael Notes,How to choose ID from a track / turboid of multiple images,,,,,,,,,,,,
"How to do process efficiently in batch (similarity model, etc)",Others,13,,,,,,,,,,,,ML,Michael Notes,"How to do process efficiently in batch (similarity model, etc)",,,,,,,,,,,,
"Many to many, storing feature embedding, etc.",Others,14,,,,,,,,,,,,ML,Michael Notes,"Many to many, storing feature embedding, etc.",,,,,,,,,,,,
"How to incorporate geopriors exactly? Part of model, or post-filtering.",Others,15,,,,,,,,,,,,ML,Michael Notes,"How to incorporate geopriors exactly? Part of model, or post-filtering.",,,,,,,,,,,,
A side goal of the platform is to increase engagement in the observation of insects.,Others,16,,,,,,,,,,,,Goals,Michael Notes,A side goal of the platform is to increase engagement in the observation of insects.,,,,,,,,,,,,
Enable & expedite new formal research.,Others,17,,,,,,,,,,,,Goals,Michael Notes,Enable & expedite new formal research.,,,,,,,,,,,,
Provide an interface for citizen scientists to learn & contribute.,Others,18,,,,,,,,,,,,Goals,Michael Notes,Provide an interface for citizen scientists to learn & contribute.,,,,,,,,,,,,
Should always be encouraging and pleasurable to use.,Others,19,,,,,,,,,,,,Goals,Michael Notes,Should always be encouraging and pleasurable to use.,,,,,,,,,,,,
Alerts & notifications (region & species),Others,20,,,,,,,,,,,,UI,Michael Notes,Alerts & notifications (region & species),,,,,,,,,,,,
Integration of final data into iNaturalist & GBIF,Others,21,,,,,,,,,,,,Data exports,Michael Notes,Integration of final data into iNaturalist & GBIF,,,,,,,,,,,,
Non-timeseries data - Microscopy & field photos,Others,22,,,,,,,,,,,,New subjects,Michael Notes,Non-timeseries data - Microscopy & field photos,,,,,,,,,,,,
"Other invertebrates - other nocturnals, and day-time polinators",Others,23,,,,,,,,,,,,New subjects,Michael Notes,"Other invertebrates - other nocturnals, and day-time polinators",,,,,,,,,,,,
Exports & Downloads (Self-service feature remaining),Michael  David notes,1,,,,,,,,,,,,Core Features & Goals,,,Exports & Downloads (Self-service feature remaining),"2024-11-21, 2025-10-08",,,,,,,,,,
"Account Sign-ups (Self-service feature remaining, currently requires admin support)",Michael  David notes,2,,,,,,,,,,,,Core Features & Goals,,,"Account Sign-ups (Self-service feature remaining, currently requires admin support)","2024-11-20, Antenna Workflow",,,,,,,,,,
Onboarding Flow (Centrally Managed Antenna & UI flow),Michael  David notes,3,,,,,,,,,,,,Core Features & Goals,,,Onboarding Flow (Centrally Managed Antenna & UI flow),"2025-10-08, 2025-07-30",,,,,,,,,,
AMI Data Companion (for processing batch data offline),Michael  David notes,4,,,,,,,,,,,,Core Features & Goals,,,AMI Data Companion (for processing batch data offline),"2025-10-08, 2024-08-01",,,,,,,,,,
Antenna (self-hosted version),Michael  David notes,5,,,,,,,,,,,,Core Features & Goals,,,Antenna (self-hosted version),2025-10-08 00:00:00,,,,,,,,,,
Quickstart designs/project (Create a quick start project),Michael  David notes,6,,,,,,,,,,,,Core Features & Goals,,,Quickstart designs/project (Create a quick start project),"2025-08-13, Antenna Workflow",,,,,,,,,,
Improving/Reducing noise in results displayed by default,Michael  David notes,7,,,,,,,,,,,,Core Features & Goals,,,Improving/Reducing noise in results displayed by default,2025-08-13 00:00:00,,,,,,,,,,
"Roll up taxon ranks, Adapters, Temperature calibration",Michael  David notes,8,,,,,,,,,,,,Core Features & Goals,,,"Roll up taxon ranks, Adapters, Temperature calibration",2025-01-29 00:00:00,,,,,,,,,,
Registration of pipelines (Self-service feature remaining),Michael  David notes,9,,,,,,,,,,,,Core Features & Goals,,,Registration of pipelines (Self-service feature remaining),2024-11-20 00:00:00,,,,,,,,,,
Automating the current interface (prototype),Michael  David notes,10,,,,,,,,,,,,Core Features & Goals,,,Automating the current interface (prototype),2025-07-16 00:00:00,,,,,,,,,,
"""Species of Interest"" feature",Michael  David notes,11,,,,,,,,,,,,Core Features & Goals,,,"""Species of Interest"" feature",2025-03-20 00:00:00,,,,,,,,,,
"Charts & Trends (Top species, flight chart/flying patterns - high-level summaries)",Michael  David notes,12,,,,,,,,,,,,Core Features & Goals,,,"Charts & Trends (Top species, flight chart/flying patterns - high-level summaries)","2025-03-06, 2024-11-21",,,,,,,,,,
Model Registry & Available Pipelines (Registry for models & ML backends),Michael  David notes,13,,,,,,,,,,,,Core Features & Goals,,,Model Registry & Available Pipelines (Registry for models & ML backends),"2025-02-06, 2024-11-21",,,,,,,,,,
"Clear distinction for ""3rd party"" vs. certified models (Antenna logo!)",Michael  David notes,14,,,,,,,,,,,,Core Features & Goals,,,"Clear distinction for ""3rd party"" vs. certified models (Antenna logo!)",2025-02-06 00:00:00,,,,,,,,,,
Orgs & Per-project permissions (Mohamed's work),Michael  David notes,15,,,,,,,,,,,,Core Features & Goals,,,Orgs & Per-project permissions (Mohamed's work),"2025-01-23, 2024-11-21",,,,,,,,,,
Public splash page/landing page with a demo feature and interest form,Michael  David notes,16,,,,,,,,,,,,Core Features & Goals,,,Public splash page/landing page with a demo feature and interest form,"2024-08-01, 2024-06-13",,,,,,,,,,
Citizen science page with a downloadable button,Michael  David notes,17,,,,,,,,,,,,Core Features & Goals,,,Citizen science page with a downloadable button,2024-08-01 00:00:00,,,,,,,,,,
Object detector only works... (implied limitation),Michael  David notes,18,,,,,,,,,,,,Bugs & Limitations,,,Object detector only works... (implied limitation),2025-10-08 00:00:00,,,,,,,,,,
Reset password when not logged in (Unstable/Backend incomplete),Michael  David notes,19,,,,,,,,,,,,Bugs & Limitations,,,Reset password when not logged in (Unstable/Backend incomplete),Antenna Workflow,,,,,,,,,,
Create a project from scratch (Partially implemented/disabled for most),Michael  David notes,20,,,,,,,,,,,,Bugs & Limitations,,,Create a project from scratch (Partially implemented/disabled for most),Antenna Workflow,,,,,,,,,,
Processing and job failing,Michael  David notes,21,,,,,,,,,,,,Bugs & Limitations,,,Processing and job failing,2025-07-08 00:00:00,,,,,,,,,,
Taxa page speed (fix in progress) and Species views (too slow),Michael  David notes,22,,,,,,,,,,,,Bugs & Limitations,,,Taxa page speed (fix in progress) and Species views (too slow),"2025-03-12, 2024-11-21",,,,,,,,,,
"Out-of-Distribution (OOD) feature (Mockups, protocol for detecting new species, feature vectors, Yuyan's model)",Michael  David notes,23,,,,,,,,,,,,ML Specific,,,"Out-of-Distribution (OOD) feature (Mockups, protocol for detecting new species, feature vectors, Yuyan's model)","2025-04-08, 2025-03-26, 2025-02-26, 2025-02-06",,,,,,,,,,
More informative confidence scores (calibrated scores),Michael  David notes,24,,,,,,,,,,,,ML Specific,,,More informative confidence scores (calibrated scores),2024-11-21 (also listed as immature),,,,,,,,,,
Dataset transparency (show training data species/images for each model),Michael  David notes,25,,,,,,,,,,,,ML Specific,,,Dataset transparency (show training data species/images for each model),2024-11-21 00:00:00,,,,,,,,,,
Build a retraining workflow (use verified data to improve model),Michael  David notes,26,,,,,,,,,,,,ML Specific,,,Build a retraining workflow (use verified data to improve model),2024-11-21 00:00:00,,,,,,,,,,
Reprocessing detections with a new classifier,Michael  David notes,27,,,,,,,,,,,,ML Specific,,,Reprocessing detections with a new classifier,2024-11-21 00:00:00,,,,,,,,,,
Order level classifier (Aditya's work),Michael  David notes,28,,,,,,,,,,,,ML Specific,,,Order level classifier (Aditya's work),"2025-02-06, 2025-01-23",,,,,,,,,,
Species of concern model (invasive & pest species),Michael  David notes,29,,,,,,,,,,,,ML Specific,,,Species of concern model (invasive & pest species),2025-02-06 00:00:00,,,,,,,,,,
"All arthropods model (global insects, spiders, etc)",Michael  David notes,30,,,,,,,,,,,,ML Specific,,,"All arthropods model (global insects, spiders, etc)",2025-02-06 00:00:00,,,,,,,,,,
"Speed/Performance (Top priority, scaling up processing)",Michael  David notes,31,,,,,,,,,,,,Process & Infrastructure,,,"Speed/Performance (Top priority, scaling up processing)","2025-01-29, 2024-11-21",,,,,,,,,,
Stable production environment with automated backups & good performance,Michael  David notes,32,,,,,,,,,,,,Process & Infrastructure,,,Stable production environment with automated backups & good performance,2024-06-13 00:00:00,,,,,,,,,,
Scaling up infrastructure (robustness),Michael  David notes,33,,,,,,,,,,,,Process & Infrastructure,,,Scaling up infrastructure (robustness),"2024-11-21, 2024-06-13",,,,,,,,,,
"Optimization features & ""hardening"" (including Image resizing)",Michael  David notes,34,,,,,,,,,,,,Process & Infrastructure,,,"Optimization features & ""hardening"" (including Image resizing)",2024-11-21 00:00:00,,,,,,,,,,
"Training support team documentation/videos (Public/Private Wiki, User Manual)",Michael  David notes,35,,,,,,,,,,,,Process & Infrastructure,,,"Training support team documentation/videos (Public/Private Wiki, User Manual)","2025-03-20, 2025-02-20, 2024-11-21",,,,,,,,,,
"Needs documentation for configuring processing services, pipelines, storage, and data source",Michael  David notes,36,,,,,,,,,,,,Process & Infrastructure,,,"Needs documentation for configuring processing services, pipelines, storage, and data source",Antenna Workflow,,,,,,,,,,
Move to managed hosting (if centralized system is desired),Michael  David notes,37,,,,,,,,,,,,Process & Infrastructure,,,Move to managed hosting (if centralized system is desired),2025-10-08 00:00:00,,,,,,,,,,
Monetization strategy/pricing (to put into grants),Michael  David notes,38,,,,,,,,,,,,Process & Infrastructure,,,Monetization strategy/pricing (to put into grants),2025-03-12 00:00:00,,,,,,,,,,
Setup vector database,Michael  David notes,39,,,,,,,,,,,,Process & Infrastructure,,,Setup vector database,2025-02-06 00:00:00,,,,,,,,,,
Standardizing the model APIs,Michael  David notes,40,,,,,,,,,,,,Process & Infrastructure,,,Standardizing the model APIs,2024-11-21 00:00:00,,,,,,,,,,
Work on integration structure of models and training data,Michael  David notes,41,,,,,,,,,,,,Process & Infrastructure,,,Work on integration structure of models and training data,2024-06-13 00:00:00,,,,,,,,,,
"Review current models (trained when, checklists)",Michael  David notes,42,,,,,,,,,,,,Process & Infrastructure,,,"Review current models (trained when, checklists)",2024-11-20 00:00:00,,,,,,,,,,
Concern about accuracy of species detection/classification,User feedback summary 2024,1,,,,,,,,,,,,Thought,"User feedback, Andre-Philippe, 2024",,,,Concern about accuracy of species detection/classification,Species Identification,Andre-Philippe,,,,,,,
Interactive tool to manually annotate or correct detections,User feedback summary 2024,2,,,,,,,,,,,,Feature,"User feedback, Andre-Philippe, 2024",,,,Interactive tool to manually annotate or correct detections,Species Identification,Andre-Philippe,,,,,,,
Continue to maintain and enhance automated detection and classification,User feedback summary 2024,3,,,,,,,,,,,,Maintenance,"User feedback, Andre-Philippe, 2024",,,,Continue to maintain and enhance automated detection and classification,Species Identification,Andre-Philippe,,,,,,,
Add fields for barcode bin numbers to assist with species identification,User feedback summary 2024,4,,,,,,,,,,,,Feature,"User feedback, Chris, 2024",,,,Add fields for barcode bin numbers to assist with species identification,Species Identification,Chris,,,,,,,
Integrate support for barcode bin numbers for species without traditional names,User feedback summary 2024,5,,,,,,,,,,,,Feature,"User feedback, Chris & Yves, 2024",,,,Integrate support for barcode bin numbers for species without traditional names,Species Identification,Chris & Yves,,,,,,,
Allow users to invite categories,User feedback summary 2024,6,,,,,,,,,,,,Feature,"User feedback, Tessa, 2024",,,,Allow users to invite categories,Collaboration,Tessa,,,,,,,
Allow inviting a collaborator to confirm IDs,User feedback summary 2024,7,,,,,,,,,,,,Feature,"User feedback, Tessa, 2024",,,,Allow inviting a collaborator to confirm IDs,Collaboration,Tessa,,,,,,,
Continue to foster platform's openness and potential for collaboration,User feedback summary 2024,8,,,,,,,,,,,,Maintenance,"User feedback, Stephan, 2024",,,,Continue to foster platform's openness and potential for collaboration,Collaboration Features,Stephan,,,,,,,
Use Google spreadsheets for collaborative updates to species lists and training data,User feedback summary 2024,9,,,,,,,,,,,,Feature,"User feedback, Chris & Yves, 2024",,,,Use Google spreadsheets for collaborative updates to species lists and training data,Collaboration Tools,Chris & Yves,,,,,,,
Clarify that collections are fixed queries until recalculation,User feedback summary 2024,10,,,,,,,,,,,,Feature,"User feedback, Donald, 2024",,,,Clarify that collections are fixed queries until recalculation,Collections Management,Donald,,,,,,,
Make occurrences in collections clickable,User feedback summary 2024,11,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Make occurrences in collections clickable,Collections Management,Unknown,,,,,,,
Clarify indication for unprocessed collections,User feedback summary 2024,12,,,,,,,,,,,,Thought,"User feedback, Unknown, 2024",,,,Clarify indication for unprocessed collections,Collections Management,Unknown,,,,,,,
Connect comments box,User feedback summary 2024,13,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Connect comments box,User Interface,Jamie,,,,,,,
Fix initial difficulty with configuring Amazon S3 settings,User feedback summary 2024,14,,,,,,,,,,,,Bug,"User feedback, Andre-Philippe, 2024",,,,Fix initial difficulty with configuring Amazon S3 settings,Storage Configuration,Andre-Philippe,,,,,,,
